INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:20:01,822 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:20:01,822 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:20:01,824 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:20:01,824 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:20:01,824 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:20:02,040 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:20:02,071 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:20:06,867 "GET / HTTP/1.1" 200 12925
INFO 2024-09-05 10:20:08,345 "GET /accounts/login/ HTTP/1.1" 200 12942
WARNING 2024-09-05 10:20:08,445 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:20:08,446 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:20:16,122 "GET /accounts/login/ HTTP/1.1" 200 12926
INFO 2024-09-05 10:20:16,201 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:20:16,203 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:20:16,204 "GET /static/js/index.js HTTP/1.1" 200 470
WARNING 2024-09-05 10:20:16,209 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:20:16,210 "GET /static/js/quantity.js HTTP/1.1" 200 3055
WARNING 2024-09-05 10:20:16,210 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:20:16,210 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:20:16,210 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:20:16,434 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:20:16,692 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:21:13,670 "GET /accounts/login/ HTTP/1.1" 200 12926
INFO 2024-09-05 10:21:13,745 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:21:13,745 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:21:13,780 "GET /static/js/index.js HTTP/1.1" 200 470
WARNING 2024-09-05 10:21:13,785 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:21:13,785 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:21:13,785 "GET /static/js/quantity.js HTTP/1.1" 200 3055
WARNING 2024-09-05 10:21:13,786 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:21:13,786 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:21:14,006 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:21:14,036 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:21:14,488 "GET /accounts/login/ HTTP/1.1" 200 12926
INFO 2024-09-05 10:21:14,591 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:21:14,594 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:21:14,594 "GET /static/js/library.js HTTP/1.1" 200 2656
WARNING 2024-09-05 10:21:14,596 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:21:14,596 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:21:14,624 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:21:14,624 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:21:14,624 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:21:14,821 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:21:15,083 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:21:16,209 "GET /contact/ HTTP/1.1" 200 15544
INFO 2024-09-05 10:21:22,045 "GET /library/ HTTP/1.1" 200 34814
INFO 2024-09-05 10:21:59,672 "GET /library/ HTTP/1.1" 200 34814
INFO 2024-09-05 10:21:59,736 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:21:59,738 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:21:59,739 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:21:59,742 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:21:59,742 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:21:59,743 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:21:59,744 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:21:59,745 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:21:59,745 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:21:59,782 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:21:59,947 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:22:00,030 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:22:02,768 "GET / HTTP/1.1" 200 12909
INFO 2024-09-05 10:22:05,019 "GET /accounts/login/ HTTP/1.1" 200 12921
WARNING 2024-09-05 10:22:05,155 Not Found: /accounts/static/images/mailchimp.webp
WARNING 2024-09-05 10:22:05,155 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
INFO 2024-09-05 10:22:20,383 "GET /accounts/login/ HTTP/1.1" 200 12840
INFO 2024-09-05 10:22:20,460 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:22:20,463 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:22:20,464 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:22:20,464 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:22:20,464 "GET /static/images/logo.png HTTP/1.1" 200 58043
WARNING 2024-09-05 10:22:20,466 Not Found: /accounts/static/images/mailchimp.webp
INFO 2024-09-05 10:22:20,467 "GET /static/js/actions.js HTTP/1.1" 200 3988
WARNING 2024-09-05 10:22:20,467 "GET /accounts/static/images/mailchimp.webp HTTP/1.1" 404 7728
